Date,Colorado,Alaska,Washington,Missouri
2020-03-15,136,1,603,5
2020-03-16,161,1,779,8
2020-03-17,183,4,955,14
2020-03-18,216,9,1022,21
2020-03-19,278,12,1374,42
2020-03-20,364,15,1524,79
2020-03-21,475,16,1793,89
2020-03-22,595,26,1997,122
2020-03-23,723,39,2221,225
2020-03-24,912,43,2328,291
2020-03-25,1087,50,2591,382
2020-03-26,1430,64,3207,577
2020-03-27,1738,75,3477,744
2020-03-28,2061,92,4030,864
2020-03-29,2308,111,4465,934
2020-03-30,2627,119,4923,1289
2020-03-31,2966,129,5432,1550
2020-04-01,3342,142,5608,1803
2020-04-02,3728,150,6389,2003
2020-04-03,4173,161,6846,2124
2020-04-04,4565,172,7247,2472
2020-04-05,4950,187,7825,2568
2020-04-06,5183,193,8311,3030
2020-04-07,5429,215,8692,3327
2020-04-08,5655,228,9276,3511
2020-04-09,6202,238,9639,3754
2020-04-10,6513,249,10119,4149
2020-04-11,6893,261,10434,4395
2020-04-12,7307,276,10609,4534
2020-04-13,7696,281,10635,4714
2020-04-14,7950,289,10799,4880
2020-04-15,8280,297,10942,5005
2020-04-16,8675,305,11057,5308
2020-04-17,9047,314,11517,5520
2020-04-18,9440,319,11776,5713
2020-04-19,9730,324,11978,5881
2020-04-20,10112,326,12114,6043
2020-04-21,10473,334,12392,6242
2020-04-22,10891,340,12596,6433
2020-04-23,11278,342,12753,6700
2020-04-24,12256,344,12977,6943
2020-04-25,12968,344,13319,7108
2020-04-26,13441,346,13521,7275
2020-04-27,13879,350,13686,7444
2020-04-28,14316,356,13842,7591
2020-04-29,14758,360,14070,7761
2020-04-30,15284,360,14327,7956
2020-05-01,15793,369,14637,8190
2020-05-02,16225,370,15003,8449
2020-05-03,16635,373,15185,8712
2020-05-04,16918,375,15462,8998
2020-05-05,17367,376,15594,9195
2020-05-06,17832,377,15905,9447
2020-05-07,18370,380,16231,9683
2020-05-08,18827,383,16388,9829
2020-05-09,19375,385,16674,9988
2020-05-10,19703,386,16891,10105
2020-05-11,19879,388,17122,10212
2020-05-12,20157,390,17330,10329
2020-05-13,20475,391,17512,10520
2020-05-14,20838,396,17773,10684
2020-05-15,21232,398,17951,10873
