,Admin2
255,Adams
256,Alamosa
257,Arapahoe
258,Archuleta
259,Baca
260,Bent
261,Boulder
262,Broomfield
263,Chaffee
264,Cheyenne
265,Clear Creek
266,Conejos
267,Costilla
268,Crowley
269,Custer
270,Delta
271,Denver
272,Dolores
273,Douglas
274,Eagle
275,El Paso
276,Elbert
277,Fremont
278,Garfield
279,Gilpin
280,Grand
281,Gunnison
282,Hinsdale
283,Huerfano
284,Jackson
285,Jefferson
286,Kiowa
287,Kit Carson
288,La Plata
289,Lake
290,Larimer
291,Las Animas
292,Lincoln
293,Logan
294,Mesa
295,Mineral
296,Moffat
297,Montezuma
298,Montrose
299,Morgan
300,Otero
301,Ouray
302,Out of CO
303,Park
304,Phillips
305,Pitkin
306,Prowers
307,Pueblo
308,Rio Blanco
309,Rio Grande
310,Routt
311,Saguache
312,San Juan
313,San Miguel
314,Sedgwick
315,Summit
316,Teller
317,Unassigned
318,Washington
319,Weld
320,Yuma
