Date,Boulder,Arapahoe,Weld
2020-03-22,30.0,30.0,33.0
2020-03-29,53.0,196.0,143.0
2020-04-05,87.0,367.0,290.0
2020-04-12,87.0,475.0,268.0
2020-04-19,88.0,453.0,325.0
2020-04-26,148.0,624.0,406.0
2020-05-03,161.0,546.0,403.0
2020-05-10,106.0,566.0,267.0
2020-05-17,77.0,431.0,156.0
2020-05-24,84.0,336.0,111.0
2020-05-31,52.0,355.0,82.0
2020-06-07,36.0,243.0,95.0
2020-06-14,54.0,166.0,73.0
2020-06-21,173.0,138.0,65.0
2020-06-28,117.0,216.0,67.0
2020-07-05,75.0,197.0,83.0
2020-07-12,82.0,293.0,128.0
2020-07-19,125.0,385.0,211.0
2020-07-26,130.0,509.0,198.0
2020-08-02,140.0,465.0,138.0
2020-08-09,134.0,305.0,163.0
2020-08-16,90.0,283.0,116.0
2020-08-23,86.0,238.0,113.0
2020-08-30,65.0,235.0,113.0
2020-09-06,172.0,232.0,127.0
2020-09-13,318.0,211.0,126.0
2020-09-20,698.0,328.0,203.0
2020-09-27,848.0,401.0,205.0
2020-10-04,271.0,451.0,237.0
2020-10-11,188.0,636.0,202.0
