,Boulder,Arapahoe,Weld
2020-03-22,118.0,176.0,96.0
2020-03-29,330.0,743.0,690.0
2020-04-05,472.0,2169.0,1575.0
2020-04-12,636.0,2920.0,1933.0
2020-04-19,647.0,3340.0,2334.0
2020-04-26,850.0,3702.0,2421.0
2020-05-03,1068.0,4248.0,3099.0
2020-05-10,923.0,4042.0,2076.0
2020-05-17,620.0,3256.0,1400.0
2020-05-24,574.0,2855.0,863.0
2020-05-31,449.0,2098.0,658.0
2020-06-07,310.0,2208.0,601.0
2020-06-14,300.0,1355.0,651.0
2020-06-21,876.0,1030.0,467.0
2020-06-28,1030.0,1283.0,433.0
2020-07-05,643.0,1418.0,547.0
2020-07-12,524.0,1758.0,729.0
2020-07-19,781.0,2399.0,1287.0
2020-07-26,785.0,3057.0,1397.0
2020-08-02,991.0,3551.0,1126.0
2020-08-09,1009.0,2674.0,1064.0
2020-08-16,801.0,1924.0,962.0
2020-08-23,513.0,1739.0,774.0
2020-08-30,570.0,1823.0,834.0
2020-09-06,665.0,1636.0,783.0
2020-09-13,1632.0,1400.0,937.0
2020-09-20,3725.0,2083.0,1220.0
2020-09-27,6463.0,2546.0,1425.0
2020-10-04,3018.0,2999.0,1468.0
2020-10-11,1545.0,3681.0,1525.0
