,Boulder,Arapahoe,Weld
2020-03-15,7,15,4
2020-03-16,7,15,4
2020-03-17,8,18,5
2020-03-18,8,22,9
2020-03-19,11,22,9
2020-03-20,24,29,15
2020-03-21,30,40,21
2020-03-22,37,45,37
2020-03-23,39,58,50
2020-03-24,49,69,76
2020-03-25,51,88,87
2020-03-26,66,119,107
2020-03-27,76,155,129
2020-03-28,84,204,161
2020-03-29,90,241,180
2020-03-30,100,288,215
2020-03-31,107,333,255
2020-04-01,114,381,293
2020-04-02,132,441,329
2020-04-03,143,500,379
2020-04-04,154,552,424
2020-04-05,177,608,470
2020-04-06,189,652,504
2020-04-07,206,718,537
2020-04-08,207,764,573
2020-04-09,217,877,614
2020-04-10,234,931,649
2020-04-11,246,998,683
2020-04-12,264,1083,738
2020-04-13,284,1142,808
2020-04-14,293,1183,858
2020-04-15,300,1243,928
2020-04-16,312,1342,960
2020-04-17,327,1419,986
2020-04-18,342,1498,1029
2020-04-19,352,1536,1063
2020-04-20,360,1602,1121
2020-04-21,390,1649,1180
2020-04-22,417,1717,1237
2020-04-23,426,1824,1263
2020-04-24,470,2030,1353
2020-04-25,497,2083,1430
2020-04-26,500,2160,1469
2020-04-27,515,2252,1544
2020-04-28,543,2312,1618
2020-04-29,565,2389,1704
2020-04-30,580,2472,1776
2020-05-01,618,2557,1802
2020-05-02,646,2625,1836
2020-05-03,661,2706,1872
2020-05-04,679,2758,1897
2020-05-05,685,2883,1955
2020-05-06,700,2977,1988
2020-05-07,720,3089,2042
2020-05-08,743,3148,2087
2020-05-09,757,3228,2120
2020-05-10,767,3272,2139
2020-05-11,777,3313,2159
2020-05-12,788,3370,2190
2020-05-13,797,3464,2211
2020-05-14,805,3526,2232
2020-05-15,825,3583,2260
2020-05-16,835,3652,2281
2020-05-17,844,3703,2295
2020-05-18,857,3767,2305
2020-05-19,871,3827,2326
2020-05-20,878,3889,2338
2020-05-21,890,3943,2358
2020-05-22,898,3974,2367
2020-05-23,923,4027,2391
2020-05-24,928,4039,2406
2020-05-25,932,4075,2412
2020-05-26,941,4121,2423
2020-05-27,947,4166,2430
2020-05-28,956,4201,2444
2020-05-29,964,4254,2472
2020-05-30,974,4353,2480
2020-05-31,980,4394,2488
2020-06-01,984,4416,2501
2020-06-02,986,4453,2505
2020-06-03,995,4496,2521
2020-06-04,1004,4553,2534
2020-06-05,1008,4591,2540
2020-06-06,1011,4626,2566
2020-06-07,1016,4637,2583
2020-06-08,1022,4663,2598
2020-06-09,1027,4687,2604
2020-06-10,1031,4709,2616
2020-06-11,1040,4723,2629
2020-06-12,1049,4754,2646
2020-06-13,1065,4788,2652
2020-06-14,1070,4803,2656
2020-06-15,1088,4818,2666
2020-06-16,1100,4826,2671
2020-06-17,1137,4861,2693
2020-06-18,1173,4885,2698
2020-06-19,1211,4905,2705
2020-06-20,1228,4921,2714
2020-06-21,1243,4941,2721
2020-06-22,1259,4975,2724
2020-06-23,1282,4993,2730
2020-06-24,1305,5022,2746
2020-06-25,1321,5066,2757
2020-06-26,1336,5100,2773
2020-06-27,1347,5127,2783
2020-06-28,1360,5157,2788
2020-06-29,1367,5172,2798
2020-06-30,1384,5202,2802
2020-07-01,1401,5234,2823
2020-07-02,1414,5267,2839
2020-07-03,1424,5300,2853
2020-07-04,1428,5329,2862
2020-07-05,1435,5354,2871
2020-07-06,1443,5369,2878
2020-07-07,1454,5421,2890
2020-07-08,1466,5459,2912
2020-07-09,1486,5510,2937
