,Province_State
0,Alabama
69,Alaska
100,American Samoa
101,Arizona
118,Arkansas
195,California
255,Colorado
321,Connecticut
331,Delaware
337,District of Columbia
340,Florida
409,Georgia
571,Guam
572,Hawaii
579,Idaho
625,Illinois
729,Indiana
823,Iowa
924,Kansas
1031,Kentucky
1153,Louisiana
1219,Maine
1237,Maryland
1263,Massachusetts
1280,Michigan
1367,Minnesota
1456,Mississippi
1540,Missouri
1658,Montana
1716,Nebraska
1811,Nevada
1830,New Hampshire
1842,New Jersey
1865,New Mexico
1900,New York
1964,North Carolina
2066,North Dakota
2122,Ohio
2212,Oklahoma
2291,Oregon
2329,Pennsylvania
2398,Puerto Rico
2478,Rhode Island
2485,South Carolina
2533,South Dakota
2601,Tennessee
2698,Texas
2954,Utah
2991,Vermont
3007,Virgin Islands
3008,Virginia
3143,Washington
3184,West Virginia
3241,Wisconsin
3315,Wyoming
