Date,Boulder,Broomfield,Denver,Dolores
2020-05-01,618,157,3092,0
2020-05-02,646,163,3222,0
2020-05-03,661,165,3345,0
2020-05-04,679,167,3428,0
2020-05-05,685,178,3546,0
2020-05-06,700,180,3674,0
2020-05-07,720,186,3799,0
2020-05-08,743,191,3892,0
2020-05-09,757,195,4001,0
2020-05-10,767,198,4070,0
2020-05-11,777,200,4118,0
2020-05-12,788,201,4187,0
2020-05-13,797,203,4254,0
2020-05-14,805,204,4359,0
2020-05-15,825,207,4452,0
2020-05-16,835,209,4548,0
2020-05-17,844,211,4656,0
2020-05-18,857,213,4720,0
2020-05-19,871,214,4790,0
2020-05-20,878,215,4858,0
2020-05-21,890,218,4948,0
2020-05-22,898,220,5056,0
2020-05-23,923,220,5151,0
2020-05-24,928,220,5173,0
2020-05-25,932,221,5216,0
2020-05-26,941,224,5269,0
2020-05-27,947,226,5316,0
2020-05-28,956,227,5434,0
2020-05-29,964,232,5569,0
2020-05-30,974,236,5690,0
2020-05-31,980,240,5775,0
2020-06-01,984,242,5802,0
2020-06-02,986,244,5854,0
2020-06-03,995,245,5917,0
2020-06-04,1004,251,5977,0
2020-06-05,1008,252,6041,0
2020-06-06,1011,253,6079,0
2020-06-07,1016,255,6106,0
2020-06-08,1022,256,6138,0
2020-06-09,1027,258,6176,0
2020-06-10,1031,258,6204,0
2020-06-11,1040,259,6232,0
2020-06-12,1049,261,6257,0
2020-06-13,1065,264,6301,0
2020-06-14,1070,264,6330,0
2020-06-15,1088,265,6376,0
2020-06-16,1100,268,6401,0
2020-06-17,1137,270,6445,0
2020-06-18,1173,271,6493,0
2020-06-19,1211,274,6565,0
2020-06-20,1228,277,6603,0
2020-06-21,1243,278,6630,0
2020-06-22,1259,280,6663,0
2020-06-23,1282,282,6700,0
2020-06-24,1305,284,6775,0
2020-06-25,1321,287,6835,0
2020-06-26,1336,291,6901,0
2020-06-27,1347,291,6947,0
2020-06-28,1360,295,7007,0
2020-06-29,1367,297,7065,0
2020-06-30,1384,298,7091,0
2020-07-01,1401,301,7149,0
2020-07-02,1414,307,7228,0
2020-07-03,1424,307,7279,0
2020-07-04,1428,312,7319,0
2020-07-05,1435,314,7344,0
2020-07-06,1443,316,7392,0
2020-07-07,1454,320,7477,0
2020-07-08,1466,324,7563,0
2020-07-09,1486,333,7651,0
2020-07-10,1498,336,7759,0
2020-07-11,1513,341,7832,0
2020-07-12,1517,341,7902,0
2020-07-13,1532,342,7952,0
2020-07-14,1558,348,8011,0
2020-07-15,1578,352,8098,0
2020-07-16,1601,354,8164,0
2020-07-17,1619,358,8254,1
2020-07-18,1628,358,8320,2
2020-07-19,1642,359,8371,2
2020-07-20,1650,362,8429,2
2020-07-21,1662,364,8532,2
2020-07-22,1683,371,8650,2
2020-07-23,1704,373,8809,2
2020-07-24,1721,376,8939,2
2020-07-25,1751,378,9101,1
2020-07-26,1772,382,9205,1
2020-07-27,1782,383,9256,1
2020-07-28,1813,385,9387,1
2020-07-29,1825,387,9482,1
2020-07-30,1840,392,9529,1
2020-07-31,1872,398,9623,1
2020-08-01,1890,406,9693,1
2020-08-02,1912,415,9777,1
2020-08-03,1927,417,9813,1
2020-08-04,1946,421,9876,1
2020-08-05,1982,436,9968,1
2020-08-06,1997,445,10052,1
2020-08-07,2019,453,10122,1
2020-08-08,2026,460,10173,1
2020-08-09,2046,473,10224,1
2020-08-10,2059,475,10263,1
2020-08-11,2086,482,10319,1
2020-08-12,2098,482,10370,1
2020-08-13,2114,482,10426,1
2020-08-14,2120,484,10471,1
2020-08-15,2131,489,10508,1
2020-08-16,2136,489,10572,1
2020-08-17,2141,492,10607,2
2020-08-18,2145,498,10651,2
2020-08-19,2166,498,10691,2
2020-08-20,2184,505,10732,2
2020-08-21,2184,505,10732,2
2020-08-22,2215,511,10842,2
2020-08-23,2222,512,10901,2
2020-08-24,2231,515,10931,2
2020-08-25,2247,523,11038,2
2020-08-26,2252,521,11021,2
2020-08-27,2261,522,11077,2
2020-08-28,2272,528,11147,2
2020-08-29,2277,530,11196,2
2020-08-30,2287,532,11225,2
2020-08-31,2300,535,11265,2
2020-09-01,2315,540,11307,2
2020-09-02,2327,541,11339,2
2020-09-03,2347,542,11366,2
2020-09-04,2347,542,11366,2
2020-09-05,2397,546,11479,2
2020-09-06,2459,548,11500,2
2020-09-07,2468,550,11557,2
2020-09-08,2475,550,11579,2
2020-09-09,2534,551,11592,2
2020-09-10,2571,553,11627,2
2020-09-11,2612,555,11685,2
2020-09-12,2687,564,11760,3
2020-09-13,2777,570,11816,3
2020-09-14,2844,571,11883,3
2020-09-15,2876,572,11976,3
2020-09-16,3020,578,12055,3
2020-09-17,3086,580,12127,3
2020-09-18,3224,588,12235,3
2020-09-19,3324,593,12313,3
2020-09-20,3475,595,12422,3
2020-09-21,3673,597,12494,3
2020-09-22,3824,606,12588,3
2020-09-23,3990,616,12689,3
2020-09-24,4059,619,12785,3
2020-09-25,4191,626,12910,3
2020-09-26,4252,636,13011,3
2020-09-27,4323,645,13116,3
2020-09-28,4338,648,13208,3
2020-09-29,4396,653,13298,3
2020-09-30,4435,659,13359,3
2020-10-01,4478,674,13474,3
2020-10-02,4520,676,13593,3
2020-10-03,4569,684,13711,3
2020-10-04,4594,690,13811,3
2020-10-05,4607,695,13894,3
2020-10-06,4628,701,14024,3
2020-10-07,4662,708,14135,3
2020-10-08,4705,716,14298,3
2020-10-09,4727,721,14469,3
2020-10-10,4764,731,14645,3
2020-10-11,4782,739,14821,3
2020-10-12,4791,743,14926,3
2020-10-13,4825,749,15103,3
2020-10-14,4850,756,15222,3
2020-10-15,4891,763,15383,3
2020-10-16,4931,767,15590,3
2020-10-17,4967,778,15774,3
2020-10-18,4996,789,15947,3
2020-10-19,5042,798,16117,3
2020-10-20,5094,824,16240,3
2020-10-21,5141,846,16386,3
2020-10-22,5198,862,16592,3
2020-10-23,5254,879,16812,3
2020-10-24,5339,887,17096,3
2020-10-25,5394,902,17407,3
2020-10-26,5454,930,17787,3
2020-10-27,5501,947,18037,3
2020-10-28,5651,985,18256,3
2020-10-29,5660,997,18539,3
2020-10-30,5756,1041,18937,3
2020-10-31,5870,1071,19441,3
2020-11-01,5988,1091,19878,3
